Symptom,cate
"What are the symptoms of Ichthyosis, acquired ?","Ichthyosis, acquired"
What are the symptoms of Pellagra like syndrome ?,Pellagra like syndrome
What are the symptoms of Laurin-Sandrow syndrome ?,Laurin-Sandrow syndrome
What are the symptoms of Aromatic L-amino acid decarboxylase deficiency ?,Aromatic L-amino acid decarboxylase deficiency
What are the symptoms of Ataxia telangiectasia ?,Ataxia telangiectasia
What are the symptoms of Costocoracoid ligament congenitally short ?,Costocoracoid ligament congenitally short
What are the symptoms of Thoraco abdominal enteric duplication ?,Thoraco abdominal enteric duplication
What are the symptoms of Neuhauser Daly Magnelli syndrome ?,Neuhauser Daly Magnelli syndrome
What are the symptoms of Isotretinoin embryopathy like syndrome ?,Isotretinoin embryopathy like syndrome
What are the symptoms of Autosomal dominant nocturnal frontal lobe epilepsy ?,Autosomal dominant nocturnal frontal lobe epilepsy
What are the symptoms of Schneckenbecken dysplasia ?,Schneckenbecken dysplasia
What are the symptoms of Paranasal Sinus and Nasal Cavity Cancer ?,Paranasal Sinus and Nasal Cavity Cancer
What are the symptoms of Ocular cicatricial pemphigoid ?,Ocular cicatricial pemphigoid
What are the symptoms of Maple syrup urine disease type 1B ?,Maple syrup urine disease type 1B
What are the symptoms of Acanthosis nigricans muscle cramps acral enlargement ?,Acanthosis nigricans muscle cramps acral enlargement
What are the symptoms of Nocardiosis ?,Nocardiosis
What are the symptoms of Tularemia ?,Tularemia
What are the symptoms of Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation ?,Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation
What are the symptoms of Anencephaly ?,Anencephaly
What are the symptoms of Ankylosis of teeth ?,Ankylosis of teeth
What are the symptoms of Pfeiffer Mayer syndrome ?,Pfeiffer Mayer syndrome
What are the symptoms of Endocarditis ?,Endocarditis
What are the symptoms of Congenital contractural arachnodactyly ?,Congenital contractural arachnodactyly
What are the symptoms of Camptobrachydactyly ?,Camptobrachydactyly
What are the symptoms of Anophthalmia plus syndrome ?,Anophthalmia plus syndrome
What are the symptoms of Peptidic growth factors deficiency ?,Peptidic growth factors deficiency
What are the symptoms of Thrombocytopenia ?,Thrombocytopenia
What are the symptoms of Bardet-Biedl syndrome 6 ?,Bardet-Biedl syndrome 6
What are the symptoms of X-linked visceral heterotaxy 1 ?,X-linked visceral heterotaxy 1
What are the symptoms of Albright's hereditary osteodystrophy ?,Albright's hereditary osteodystrophy
What are the symptoms of Cataract microcornea syndrome ?,Cataract microcornea syndrome
What are the symptoms of 15q11.2 microdeletion ?,15q11.2 microdeletion
What are the symptoms of Lung Cancer ?,Lung Cancer
"What are the symptoms of Pituitary hormone deficiency, combined 4 ?","Pituitary hormone deficiency, combined 4"
What are the symptoms of Hooft disease ?,Hooft disease
What are the symptoms of Ambras syndrome ?,Ambras syndrome
What are the symptoms of Diabetic mastopathy ?,Diabetic mastopathy
"What are the symptoms of Alopecia, epilepsy, pyorrhea, mental subnormality ?","Alopecia, epilepsy, pyorrhea, mental subnormality"
What are the symptoms of Glycogen storage disease type 6 ?,Glycogen storage disease type 6
What are the symptoms of Chronic inflammatory demyelinating polyneuropathy ?,Chronic inflammatory demyelinating polyneuropathy
What are the symptoms of Palmer Pagon syndrome ?,Palmer Pagon syndrome
What are the symptoms of Metaphyseal chondrodysplasia Spahr type ?,Metaphyseal chondrodysplasia Spahr type
What are the symptoms of Snyder-Robinson syndrome ?,Snyder-Robinson syndrome
What are the symptoms of Chang Davidson Carlson syndrome ?,Chang Davidson Carlson syndrome
What are the symptoms of McDonough syndrome ?,McDonough syndrome
What are the symptoms of Kienbock's disease ?,Kienbock's disease
What are the symptoms of Pontocerebellar hypoplasia type 1 ?,Pontocerebellar hypoplasia type 1
What are the symptoms of Turner syndrome ?,Turner syndrome
What are the symptoms of Osteogenesis imperfecta ?,Osteogenesis imperfecta
What are the symptoms of Weissenbacher-Zweymuller syndrome ?,Weissenbacher-Zweymuller syndrome
What are the symptoms of Spastic paraplegia 39 ?,Spastic paraplegia 39
What are the symptoms of Brachydactyly type A2 ?,Brachydactyly type A2
What are the symptoms of C syndrome ?,C syndrome
What are the symptoms of Intestinal pseudoobstruction neuronal chronic idiopathic X-linked ?,Intestinal pseudoobstruction neuronal chronic idiopathic X-linked
What are the symptoms of Gamma heavy chain disease ?,Gamma heavy chain disease
What are the symptoms of Nephrotic Syndrome in Adults ?,Nephrotic Syndrome in Adults
What are the symptoms of Pili torti ?,Pili torti
What are the symptoms of Osteosarcoma and Malignant Fibrous Histiocytoma of Bone ?,Osteosarcoma and Malignant Fibrous Histiocytoma of Bone
"What are the symptoms of Acromegaloid changes, cutis verticis gyrata and corneal leukoma ?","Acromegaloid changes, cutis verticis gyrata and corneal leukoma"
What are the symptoms of Congenital myasthenic syndrome with episodic apnea ?,Congenital myasthenic syndrome with episodic apnea
What are the symptoms of Familial hyperaldosteronism type III ?,Familial hyperaldosteronism type III
What are the symptoms of Faciocardiorenal syndrome ?,Faciocardiorenal syndrome
What are the symptoms of Ollier disease ?,Ollier disease
What are the symptoms of Keratosis follicularis dwarfism and cerebral atrophy ?,Keratosis follicularis dwarfism and cerebral atrophy
What are the symptoms of Atherosclerosis ?,Atherosclerosis
What are the symptoms of Chromosome 17p13.1 deletion syndrome ?,Chromosome 17p13.1 deletion syndrome
What are the symptoms of Aicardi-Goutieres syndrome type 5 ?,Aicardi-Goutieres syndrome type 5
What are the symptoms of Renal dysplasia megalocystis sirenomelia ?,Renal dysplasia megalocystis sirenomelia
What are the symptoms of Guillain-Barre syndrome ?,Guillain-Barre syndrome
What are the symptoms of Fanconi like syndrome ?,Fanconi like syndrome
What are the symptoms of Oculomaxillofacial dysostosis ?,Oculomaxillofacial dysostosis
"What are the symptoms of Trichomegaly with intellectual disability, dwarfism and pigmentary degeneration of retina ?","Trichomegaly with intellectual disability, dwarfism and pigmentary degeneration of retina"
What are the symptoms of CODAS syndrome ?,CODAS syndrome
What are the symptoms of Complex regional pain syndrome ?,Complex regional pain syndrome
What are the symptoms of Fuhrmann syndrome ?,Fuhrmann syndrome
What are the symptoms of Gallstones ?,Gallstones
"What are the symptoms of Fibular aplasia, tibial campomelia, and oligosyndactyly syndrome ?","Fibular aplasia, tibial campomelia, and oligosyndactyly syndrome"
What are the symptoms of Anemia sideroblastic and spinocerebellar ataxia ?,Anemia sideroblastic and spinocerebellar ataxia
What are the symptoms of X-linked hypophosphatemia ?,X-linked hypophosphatemia
What are the symptoms of Chromosome 3p- syndrome ?,Chromosome 3p- syndrome
What are the symptoms of Atypical hemolytic uremic syndrome ?,Atypical hemolytic uremic syndrome
What are the symptoms of Bjornstad syndrome ?,Bjornstad syndrome
"What are the symptoms of Amelogenesis imperfecta, hypoplastic/hypomaturation, X-linked 2 ?","Amelogenesis imperfecta, hypoplastic/hypomaturation, X-linked 2"
What are the symptoms of Spinocerebellar ataxia 13 ?,Spinocerebellar ataxia 13
What are the symptoms of Birdshot chorioretinopathy ?,Birdshot chorioretinopathy
What are the symptoms of Charcot-Marie-Tooth disease type 2G ?,Charcot-Marie-Tooth disease type 2G
What are the symptoms of Andermann syndrome ?,Andermann syndrome
What are the symptoms of Radio-ulnar synostosis type 2 ?,Radio-ulnar synostosis type 2
What are the symptoms of Fanconi Anemia ?,Fanconi Anemia
What are the symptoms of L-arginine:glycine amidinotransferase deficiency ?,L-arginine:glycine amidinotransferase deficiency
What are the symptoms of Duodenal atresia ?,Duodenal atresia
What are the symptoms of Midphalangeal hair ?,Midphalangeal hair
What are the symptoms of Granuloma annulare ?,Granuloma annulare
What are the symptoms of X-linked Charcot-Marie-Tooth disease type 1 ?,X-linked Charcot-Marie-Tooth disease type 1
What are the symptoms of Lipedema ?,Lipedema
What are the symptoms of Duane syndrome type 3 ?,Duane syndrome type 3
What are the symptoms of Gracile bone dysplasia ?,Gracile bone dysplasia
What are the symptoms of Quebec platelet disorder ?,Quebec platelet disorder
What are the symptoms of Spinocerebellar ataxia 20 ?,Spinocerebellar ataxia 20
What are the symptoms of Chordoma ?,Chordoma
What are the symptoms of Premature aging Okamoto type ?,Premature aging Okamoto type
What are the symptoms of Minicore myopathy with external ophthalmoplegia ?,Minicore myopathy with external ophthalmoplegia
What are the symptoms of Pediatric ulcerative colitis ?,Pediatric ulcerative colitis
What are the symptoms of Van Bogaert-Hozay syndrome ?,Van Bogaert-Hozay syndrome
What are the symptoms of Severe congenital neutropenia autosomal dominant ?,Severe congenital neutropenia autosomal dominant
What are the symptoms of Landau-Kleffner syndrome ?,Landau-Kleffner syndrome
What are the symptoms of Emanuel syndrome ?,Emanuel syndrome
What are the symptoms of Thiamine responsive megaloblastic anemia syndrome ?,Thiamine responsive megaloblastic anemia syndrome
What are the symptoms of Progressive familial heart block type 1A ?,Progressive familial heart block type 1A
What are the symptoms of Triple A syndrome ?,Triple A syndrome
What are the symptoms of Majeed syndrome ?,Majeed syndrome
What are the symptoms of Laurence Prosser Rocker syndrome ?,Laurence Prosser Rocker syndrome
What are the symptoms of Merlob Grunebaum Reisner syndrome ?,Merlob Grunebaum Reisner syndrome
What are the symptoms of Cerebrotendinous xanthomatosis ?,Cerebrotendinous xanthomatosis
What are the symptoms of Spastic paraplegia 5B ?,Spastic paraplegia 5B
What are the symptoms of Severe achondroplasia with developmental delay and acanthosis nigricans ?,Severe achondroplasia with developmental delay and acanthosis nigricans
What are the symptoms of Conductive deafness with malformed external ear ?,Conductive deafness with malformed external ear
What are the symptoms of Klinefelter syndrome ?,Klinefelter syndrome
What are the symptoms of Biliary Atresia ?,Biliary Atresia
What are the symptoms of Osteoglophonic dysplasia ?,Osteoglophonic dysplasia
What are the symptoms of Cone-rod dystrophy X-linked 2 ?,Cone-rod dystrophy X-linked 2
What are the symptoms of Sarcosinemia ?,Sarcosinemia
What are the symptoms of Exstrophy of the bladder ?,Exstrophy of the bladder
What are the symptoms of Paroxysmal extreme pain disorder ?,Paroxysmal extreme pain disorder
What are the symptoms of ADCY5-related dyskinesia ?,ADCY5-related dyskinesia
"What are the symptoms of Infantile convulsions and paroxysmal choreoathetosis, familial ?","Infantile convulsions and paroxysmal choreoathetosis, familial"
"What are the symptoms of Crigler Najjar syndrome, type 1 ?","Crigler Najjar syndrome, type 1"
What are the symptoms of Febrile Ulceronecrotic Mucha-Habermann disease ?,Febrile Ulceronecrotic Mucha-Habermann disease
"What are the symptoms of Trigonobrachycephaly, bulbous bifid nose, micrognathia, and abnormalities of the hands and feet ?","Trigonobrachycephaly, bulbous bifid nose, micrognathia, and abnormalities of the hands and feet"
What are the symptoms of Ovarian Germ Cell Tumors ?,Ovarian Germ Cell Tumors
What are the symptoms of Urinary Tract Infections in Children ?,Urinary Tract Infections in Children
What are the symptoms of Microphthalmia syndromic 5 ?,Microphthalmia syndromic 5
What are the symptoms of Mowat-Wilson syndrome ?,Mowat-Wilson syndrome
What are the symptoms of Tracheal agenesis ?,Tracheal agenesis
What are the symptoms of Chronic Eosinophilic Leukemia ?,Chronic Eosinophilic Leukemia
What are the symptoms of Proud syndrome ?,Proud syndrome
What are the symptoms of Nephrogenic diabetes insipidus ?,Nephrogenic diabetes insipidus
What are the symptoms of Camptodactyly taurinuria ?,Camptodactyly taurinuria
What are the symptoms of Central core disease ?,Central core disease
What are the symptoms of Hemangiopericytoma ?,Hemangiopericytoma
What are the symptoms of Trichothiodystrophy photosensitive ?,Trichothiodystrophy photosensitive
What are the symptoms of Kuster Majewski Hammerstein syndrome ?,Kuster Majewski Hammerstein syndrome
What are the symptoms of Mesomelic dysplasia Kantaputra type ?,Mesomelic dysplasia Kantaputra type
What are the symptoms of Subacute cerebellar degeneration ?,Subacute cerebellar degeneration
What are the symptoms of C1q deficiency ?,C1q deficiency
"What are the symptoms of Dystonia 6, torsion ?","Dystonia 6, torsion"
What are the symptoms of Juvenile myelomonocytic leukemia ?,Juvenile myelomonocytic leukemia
What are the symptoms of Johnson neuroectodermal syndrome ?,Johnson neuroectodermal syndrome
What are the symptoms of Osteodysplasty precocious of Danks Mayne and Kozlowski ?,Osteodysplasty precocious of Danks Mayne and Kozlowski
What are the symptoms of Cryptogenic organizing pneumonia ?,Cryptogenic organizing pneumonia
What are the symptoms of Monomelic amyotrophy ?,Monomelic amyotrophy
What are the symptoms of Congenital disorder of glycosylation type I/IIX ?,Congenital disorder of glycosylation type I/IIX
What are the symptoms of Osteogenesis imperfecta type I ?,Osteogenesis imperfecta type I
What are the symptoms of Porphyria ?,Porphyria
What are the symptoms of Behcet's disease ?,Behcet's disease
What are the symptoms of Kallmann syndrome 6 ?,Kallmann syndrome 6
What are the symptoms of Muscle eye brain disease ?,Muscle eye brain disease
What are the symptoms of Warfarin sensitivity ?,Warfarin sensitivity
What are the symptoms of Epidermolysa bullosa simplex with muscular dystrophy ?,Epidermolysa bullosa simplex with muscular dystrophy
What are the symptoms of Deafness with labyrinthine aplasia microtia and microdontia (LAMM) ?,Deafness with labyrinthine aplasia microtia and microdontia (LAMM)
What are the symptoms of Laron syndrome ?,Laron syndrome
What are the symptoms of Charcot-Marie-Tooth type 1 aplasia cutis congenita ?,Charcot-Marie-Tooth type 1 aplasia cutis congenita
What are the symptoms of De Sanctis-Cacchione syndrome ?,De Sanctis-Cacchione syndrome
What are the symptoms of IMAGe syndrome ?,IMAGe syndrome
What are the symptoms of Glass-Chapman-Hockley syndrome ?,Glass-Chapman-Hockley syndrome
What are the symptoms of Crohn's Disease ?,Crohn's Disease
What are the symptoms of Multiple epiphyseal dysplasia ?,Multiple epiphyseal dysplasia
What are the symptoms of Wolman disease ?,Wolman disease
What are the symptoms of Distal chromosome 18q deletion syndrome ?,Distal chromosome 18q deletion syndrome
What are the symptoms of Long QT syndrome 1 ?,Long QT syndrome 1
What are the symptoms of Platelet storage pool deficiency ?,Platelet storage pool deficiency
What are the symptoms of Mosaic trisomy 14 ?,Mosaic trisomy 14
What are the symptoms of Potato nose ?,Potato nose
What are the symptoms of Familial glucocorticoid deficiency ?,Familial glucocorticoid deficiency
What are the symptoms of Budd-Chiari syndrome ?,Budd-Chiari syndrome
What are the symptoms of Neutrophil-specific granule deficiency ?,Neutrophil-specific granule deficiency
What are the symptoms of Mastocytic enterocolitis ?,Mastocytic enterocolitis
What are the symptoms of Fraser like syndrome ?,Fraser like syndrome
What are the symptoms of Transaldolase deficiency ?,Transaldolase deficiency
What are the symptoms of Deafness nephritis anorectal malformation ?,Deafness nephritis anorectal malformation
"What are the symptoms of Ulna and fibula, hypoplasia of ?","Ulna and fibula, hypoplasia of"
What are the symptoms of Neonatal progeroid syndrome ?,Neonatal progeroid syndrome
What are the symptoms of Charcot-Marie-Tooth disease type 2F ?,Charcot-Marie-Tooth disease type 2F
What are the symptoms of Beardwell syndrome ?,Beardwell syndrome
What are the symptoms of Frontotemporal dementia ?,Frontotemporal dementia
What are the symptoms of Hydrocephalus due to congenital stenosis of aqueduct of sylvius ?,Hydrocephalus due to congenital stenosis of aqueduct of sylvius
What are the symptoms of Epithelial basement membrane corneal dystrophy ?,Epithelial basement membrane corneal dystrophy
What are the symptoms of Johnston Aarons Schelley syndrome ?,Johnston Aarons Schelley syndrome
What are the symptoms of Glaucoma ?,Glaucoma
What are the symptoms of Churg Strauss syndrome ?,Churg Strauss syndrome
What are the symptoms of Symmetrical thalamic calcifications ?,Symmetrical thalamic calcifications
What are the symptoms of Tyrosinemia type 3 ?,Tyrosinemia type 3
What are the symptoms of Bilateral frontoparietal polymicrogyria ?,Bilateral frontoparietal polymicrogyria
What are the symptoms of Martinez Monasterio Pinheiro syndrome ?,Martinez Monasterio Pinheiro syndrome
What are the symptoms of Familial ventricular tachycardia ?,Familial ventricular tachycardia
What are the symptoms of Summitt syndrome ?,Summitt syndrome
What are the symptoms of Juvenile dermatomyositis ?,Juvenile dermatomyositis
What are the symptoms of Spondyloepimetaphyseal dysplasia with multiple dislocations ?,Spondyloepimetaphyseal dysplasia with multiple dislocations
What are the symptoms of Ulna hypoplasia with mental retardation ?,Ulna hypoplasia with mental retardation
What are the symptoms of Dwarfism Levi type ?,Dwarfism Levi type
What are the symptoms of Bixler Christian Gorlin syndrome ?,Bixler Christian Gorlin syndrome
What are the symptoms of Jervell Lange-Nielsen syndrome ?,Jervell Lange-Nielsen syndrome
What are the symptoms of Say-Field-Coldwell syndrome ?,Say-Field-Coldwell syndrome
What are the symptoms of Dyssegmental dysplasia Silverman-Handmaker type ?,Dyssegmental dysplasia Silverman-Handmaker type
What are the symptoms of Andersen-Tawil syndrome ?,Andersen-Tawil syndrome
What are the symptoms of Hemolytic Uremic Syndrome in Children ?,Hemolytic Uremic Syndrome in Children
What are the symptoms of Osteopetrosis autosomal dominant type 1 ?,Osteopetrosis autosomal dominant type 1
What are the symptoms of Infundibulopelvic dysgenesis ?,Infundibulopelvic dysgenesis
What are the symptoms of Respiratory Distress Syndrome ?,Respiratory Distress Syndrome
What are the symptoms of Parsonage Turner syndrome ?,Parsonage Turner syndrome
What are the symptoms of Hemorrhoids ?,Hemorrhoids
What are the symptoms of Giant platelet syndrome ?,Giant platelet syndrome
What are the symptoms of Ichthyosis hystrix gravior ?,Ichthyosis hystrix gravior
What are the symptoms of Amyloidosis and Kidney Disease ?,Amyloidosis and Kidney Disease
"What are the symptoms of Hereditary endotheliopathy, retinopathy, nephropathy, and stroke ?","Hereditary endotheliopathy, retinopathy, nephropathy, and stroke"
"What are the symptoms of Immotile cilia syndrome, due to defective radial spokes ?","Immotile cilia syndrome, due to defective radial spokes"
What are the symptoms of X-linked Charcot-Marie-Tooth disease type 4 ?,X-linked Charcot-Marie-Tooth disease type 4
What are the symptoms of Heart Failure ?,Heart Failure
What are the symptoms of Beare-Stevenson cutis gyrata syndrome ?,Beare-Stevenson cutis gyrata syndrome
What are the symptoms of Hailey-Hailey disease ?,Hailey-Hailey disease
What are the symptoms of Systemic capillary leak syndrome ?,Systemic capillary leak syndrome
What are the symptoms of Multicentric reticulohistiocytosis ?,Multicentric reticulohistiocytosis
What are the symptoms of Pulmonary alveolar microlithiasis ?,Pulmonary alveolar microlithiasis
What are the symptoms of Non-Small Cell Lung Cancer ?,Non-Small Cell Lung Cancer
What are the symptoms of Congenital pulmonary lymphangiectasia ?,Congenital pulmonary lymphangiectasia
What are the symptoms of Familial colorectal cancer ?,Familial colorectal cancer
What are the symptoms of Stroke ?,Stroke
What are the symptoms of Sea-Blue histiocytosis ?,Sea-Blue histiocytosis
What are the symptoms of Lymphomatoid papulosis ?,Lymphomatoid papulosis
What are the symptoms of Familial hyperthyroidism due to mutations in TSH receptor ?,Familial hyperthyroidism due to mutations in TSH receptor
What are the symptoms of Talonavicular coalition ?,Talonavicular coalition
What are the symptoms of Neonatal intrahepatic cholestasis caused by citrin deficiency ?,Neonatal intrahepatic cholestasis caused by citrin deficiency
What are the symptoms of Brachydactyly type A5 ?,Brachydactyly type A5
What are the symptoms of Adrenal Insufficiency and Addison's Disease ?,Adrenal Insufficiency and Addison's Disease
What are the symptoms of Asthma ?,Asthma
What are the symptoms of Moebius syndrome ?,Moebius syndrome
"What are the symptoms of Berry aneurysm, cirrhosis, pulmonary emphysema, and cerebral calcification ?","Berry aneurysm, cirrhosis, pulmonary emphysema, and cerebral calcification"
What are the symptoms of Congenital chloride diarrhea ?,Congenital chloride diarrhea
What are the symptoms of Progressive pseudorheumatoid arthropathy of childhood ?,Progressive pseudorheumatoid arthropathy of childhood
What are the symptoms of Oropharyngeal Cancer ?,Oropharyngeal Cancer
What are the symptoms of Ruvalcaba syndrome ?,Ruvalcaba syndrome
What are the symptoms of Corneal dystrophy of Bowman layer type 1 ?,Corneal dystrophy of Bowman layer type 1
What are the symptoms of Deafness-infertility syndrome ?,Deafness-infertility syndrome
"What are the symptoms of Cataract, autosomal recessive congenital 2 ?","Cataract, autosomal recessive congenital 2"
What are the symptoms of SLC4A1-associated distal renal tubular acidosis ?,SLC4A1-associated distal renal tubular acidosis
What are the symptoms of Freiberg's disease ?,Freiberg's disease
What are the symptoms of Torsion dystonia with onset in infancy ?,Torsion dystonia with onset in infancy
What are the symptoms of 15q13.3 microdeletion syndrome ?,15q13.3 microdeletion syndrome
What are the symptoms of Hereditary diffuse leukoencephalopathy with spheroids ?,Hereditary diffuse leukoencephalopathy with spheroids
What are the symptoms of Tucker syndrome ?,Tucker syndrome
What are the symptoms of Leukoplakia ?,Leukoplakia
What are the symptoms of Adult Acute Myeloid Leukemia ?,Adult Acute Myeloid Leukemia
What are the symptoms of Rabson-Mendenhall syndrome ?,Rabson-Mendenhall syndrome
What are the symptoms of Hereditary hemorrhagic telangiectasia type 4 ?,Hereditary hemorrhagic telangiectasia type 4
What are the symptoms of Proximal symphalangism ?,Proximal symphalangism
What are the symptoms of Brachyolmia ?,Brachyolmia
What are the symptoms of Craniopharyngioma ?,Craniopharyngioma
"What are the symptoms of Dystonia 7, torsion ?","Dystonia 7, torsion"
What are the symptoms of 22q11.2 deletion syndrome ?,22q11.2 deletion syndrome
What are the symptoms of Microgastria limb reduction defect ?,Microgastria limb reduction defect
What are the symptoms of Phosphoglycerate mutase deficiency ?,Phosphoglycerate mutase deficiency
What are the symptoms of Pseudoaminopterin syndrome ?,Pseudoaminopterin syndrome
What are the symptoms of Unna-Thost palmoplantar keratoderma ?,Unna-Thost palmoplantar keratoderma
What are the symptoms of Ornithine translocase deficiency syndrome ?,Ornithine translocase deficiency syndrome
What are the symptoms of Chronic Lymphocytic Leukemia ?,Chronic Lymphocytic Leukemia
What are the symptoms of Anauxetic dysplasia ?,Anauxetic dysplasia
What are the symptoms of Familial Mediterranean fever ?,Familial Mediterranean fever
What are the symptoms of Childhood Central Nervous System Atypical Teratoid/Rhabdoid Tumor ?,Childhood Central Nervous System Atypical Teratoid/Rhabdoid Tumor
What are the symptoms of Limb-girdle muscular dystrophy type 1A ?,Limb-girdle muscular dystrophy type 1A
What are the symptoms of Familial avascular necrosis of the femoral head ?,Familial avascular necrosis of the femoral head
What are the symptoms of Macrocephaly mesodermal hamartoma spectrum ?,Macrocephaly mesodermal hamartoma spectrum
What are the symptoms of Stevens-Johnson syndrome ?,Stevens-Johnson syndrome
What are the symptoms of Autosomal recessive hyper IgE syndrome ?,Autosomal recessive hyper IgE syndrome
What are the symptoms of Polyarteritis nodosa ?,Polyarteritis nodosa
What are the symptoms of Paroxysmal cold hemoglobinuria ?,Paroxysmal cold hemoglobinuria
What are the symptoms of Dandy-Walker malformation with postaxial polydactyly ?,Dandy-Walker malformation with postaxial polydactyly
What are the symptoms of Irritable Bowel Syndrome in Children ?,Irritable Bowel Syndrome in Children
What are the symptoms of Waardenburg syndrome type 2B ?,Waardenburg syndrome type 2B
What are the symptoms of Anemia of Inflammation and Chronic Disease ?,Anemia of Inflammation and Chronic Disease
What are the symptoms of Pseudohypoparathyroidism type 1C ?,Pseudohypoparathyroidism type 1C
"What are the symptoms of Dystonia 3, torsion, X-linked ?","Dystonia 3, torsion, X-linked"
"What are the symptoms of Leukoencephalopathy, arthritis, colitis, and hypogammaglobulinema ?","Leukoencephalopathy, arthritis, colitis, and hypogammaglobulinema"
What are the symptoms of Spondyloepimetaphyseal dysplasia Shohat type ?,Spondyloepimetaphyseal dysplasia Shohat type
What are the symptoms of Cheilitis glandularis ?,Cheilitis glandularis
What are the symptoms of Reactive arthritis ?,Reactive arthritis
What are the symptoms of Immune defect due to absence of thymus ?,Immune defect due to absence of thymus
What are the symptoms of Chondrodysplasia punctata 2 X-linked dominant ?,Chondrodysplasia punctata 2 X-linked dominant
What are the symptoms of Chromosome 6q25 microdeletion syndrome ?,Chromosome 6q25 microdeletion syndrome
What are the symptoms of Ullrich congenital muscular dystrophy ?,Ullrich congenital muscular dystrophy
What are the symptoms of ITCH E3 ubiquitin ligase deficiency ?,ITCH E3 ubiquitin ligase deficiency
What are the symptoms of EEC syndrome ?,EEC syndrome
What are the symptoms of Meleda disease ?,Meleda disease
What are the symptoms of Mollaret meningitis ?,Mollaret meningitis
What are the symptoms of MECP2 duplication syndrome ?,MECP2 duplication syndrome
What are the symptoms of Partial agenesis of corpus callosum ?,Partial agenesis of corpus callosum
What are the symptoms of Coronary Heart Disease ?,Coronary Heart Disease
What are the symptoms of Ewing sarcoma ?,Ewing sarcoma
What are the symptoms of Combined oxidative phosphorylation deficiency 16 ?,Combined oxidative phosphorylation deficiency 16
What are the symptoms of Multiple endocrine neoplasia type 2A ?,Multiple endocrine neoplasia type 2A
What are the symptoms of Senior Loken Syndrome ?,Senior Loken Syndrome
What are the symptoms of Bartter syndrome type 3 ?,Bartter syndrome type 3
What are the symptoms of Juberg Marsidi syndrome ?,Juberg Marsidi syndrome
What are the symptoms of Carbamoyl phosphate synthetase 1 deficiency ?,Carbamoyl phosphate synthetase 1 deficiency
What are the symptoms of Erythroderma lethal congenital ?,Erythroderma lethal congenital
What are the symptoms of Dumping Syndrome ?,Dumping Syndrome
What are the symptoms of High Blood Cholesterol ?,High Blood Cholesterol
What are the symptoms of Groenouw type I corneal dystrophy ?,Groenouw type I corneal dystrophy
What are the symptoms of Genochondromatosis ?,Genochondromatosis
What are the symptoms of Combined malonic and methylmalonic aciduria ?,Combined malonic and methylmalonic aciduria
What are the symptoms of Sneddon syndrome ?,Sneddon syndrome
"What are the symptoms of Epidermolysis bullosa simplex, Ogna type ?","Epidermolysis bullosa simplex, Ogna type"
What are the symptoms of Martsolf syndrome ?,Martsolf syndrome
What are the symptoms of Cone-rod dystrophy amelogenesis imperfecta ?,Cone-rod dystrophy amelogenesis imperfecta
What are the symptoms of Factor V deficiency ?,Factor V deficiency
What are the symptoms of Wolfram syndrome ?,Wolfram syndrome
What are the symptoms of Pili torti developmental delay neurological abnormalities ?,Pili torti developmental delay neurological abnormalities
What are the symptoms of Fetal akinesia syndrome X-linked ?,Fetal akinesia syndrome X-linked
What are the symptoms of Priapism ?,Priapism
What are the symptoms of Phacomatosis pigmentovascularis ?,Phacomatosis pigmentovascularis
What are the symptoms of Optic atrophy 5 ?,Optic atrophy 5
What are the symptoms of Bardet-Biedl syndrome 9 ?,Bardet-Biedl syndrome 9
What are the symptoms of Muckle-Wells syndrome ?,Muckle-Wells syndrome
What are the symptoms of Limbic encephalitis ?,Limbic encephalitis
What are the symptoms of Transient erythroblastopenia of childhood ?,Transient erythroblastopenia of childhood
What are the symptoms of Acquired Cystic Kidney Disease ?,Acquired Cystic Kidney Disease
What are the symptoms of Nasopharyngeal carcinoma ?,Nasopharyngeal carcinoma
What are the symptoms of Miller syndrome ?,Miller syndrome
What are the symptoms of Amyotrophic lateral sclerosis ?,Amyotrophic lateral sclerosis
What are the symptoms of Acrokeratoelastoidosis of Costa ?,Acrokeratoelastoidosis of Costa
What are the symptoms of Childhood Brain and Spinal Cord Tumors ?,Childhood Brain and Spinal Cord Tumors
What are the symptoms of Microduplication Xp11.22-p11.23 syndrome ?,Microduplication Xp11.22-p11.23 syndrome
What are the symptoms of Diffuse panbronchiolitis ?,Diffuse panbronchiolitis
What are the symptoms of Greig cephalopolysyndactyly syndrome ?,Greig cephalopolysyndactyly syndrome
What are the symptoms of Fragile X syndrome ?,Fragile X syndrome
What are the symptoms of High molecular weight kininogen deficiency ?,High molecular weight kininogen deficiency
"What are the symptoms of Familial amyloidosis, Finnish type ?","Familial amyloidosis, Finnish type"
What are the symptoms of Thumb stiff brachydactyly mental retardation ?,Thumb stiff brachydactyly mental retardation
What are the symptoms of Lesch Nyhan syndrome ?,Lesch Nyhan syndrome
What are the symptoms of Familial isolated hyperparathyroidism ?,Familial isolated hyperparathyroidism
What are the symptoms of Hereditary hemorrhagic telangiectasia ?,Hereditary hemorrhagic telangiectasia
What are the symptoms of Spondylometaphyseal dysplasia Sedaghatian type ?,Spondylometaphyseal dysplasia Sedaghatian type
